full_name,age,gender,employment_status,occupation,monthly_income,education_level,residential_status,marital_status,employment_duration,industry,hobbies,user_id,num_accounts,total_account_balance,avg_daily_balance,total_monthly_inflow,total_monthly_outflow,num_wallets,total_wallet_balance,avg_wallet_transaction,num_utility_bills,avg_utility_amount,overdue_bills,rent_amount,rent_status,monthly_plan_cost,credit_score,risk_category
Brandon Molina,29,Female,Fresh Graduate,Occupational hygienist,3486.02,Bachelor,Family Home,Single,2,Education,"['Music', 'Gaming']",abacd1bb-982a-48af-8e5b-248048dc3711,2,12657.17,6711.094999999999,6405.38,5585.12,4,989.71,49.3025,4,202.51500000000001,0,1807.01,Paid,68.0,625,Medium
Stacy Mccann,21,Male,Employed,Fish farm manager,5413.67,Bachelor,Rent,Married,3,Technology,"['Cooking', 'Fitness', 'Reading']",6e59eef3-2f8b-412c-81c6-a7e70b359143,2,6992.38,5171.655000000001,11736.95,8409.51,2,506.28999999999996,67.32,2,160.685,1,818.9,Paid,111.0,496,High
Angela Lowe,22,Male,Fresh Graduate,Fast food restaurant manager,8292.27,Diploma,Rent,Married,7,Finance,"['Traveling', 'Gaming']",48a70efb-afc7-4550-a788-ad8aced83874,2,6014.83,6100.2300000000005,16294.08,12177.470000000001,2,773.8299999999999,49.875,4,132.6475,0,678.8,Paid,126.0,505,High
Stephen Williams,22,Male,Fresh Graduate,"Scientist, biomedical",12048.72,Diploma,Rent,Married,2,Finance,['Music'],5689cfd3-ec6a-42db-bfab-9ea119d6fab4,2,13445.5,6952.030000000001,23867.36,16118.81,3,804.17,52.23666666666667,3,159.08333333333334,0,1862.71,Paid,105.0,466,High
Monica Estrada,30,Male,Employed,Information officer,3980.9,Master,Rent,Married,4,Finance,"['Sports', 'Music', 'Fitness']",4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc,2,8351.3,2243.825,7852.8099999999995,6911.76,4,1272.64,56.662499999999994,3,187.17,0,1839.83,Paid,83.0,668,Medium
Michael Fuentes,27,Male,Contract,Chartered management accountant,6260.06,Diploma,Family Home,Single,6,Manufacturing,"['Reading', 'Cooking']",9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161,1,12563.01,5670.98,6393.24,4295.89,4,1068.9,58.955,4,231.4625,0,655.7,Paid,95.0,615,Medium
Colleen Reyes,30,Male,Fresh Graduate,Patent attorney,9761.51,Master,Rent,Single,2,Finance,['Music'],cbc5ed05-49b6-494c-b155-a5ad0e373ca4,1,6272.0,2836.03,9923.25,8257.81,4,862.75,46.3925,4,105.74000000000001,0,1421.04,Pending,129.0,436,High
Joseph Norris,22,Male,Fresh Graduate,Information systems manager,13533.61,Bachelor,Family Home,Married,5,Manufacturing,"['Music', 'Photography', 'Cooking']",02b5475a-f1c0-4d22-9029-7361e72ff563,1,13129.51,8219.0,14155.96,9879.71,3,819.74,79.22666666666667,2,172.85000000000002,0,1594.71,Paid,78.0,527,High
Justin Casey,27,Female,Fresh Graduate,"Psychologist, counselling",4950.52,Bachelor,Rent,Married,7,Finance,"['Fitness', 'Gaming', 'Music']",9f947189-787b-4076-a02f-1e8580cbc9eb,2,7020.77,4900.37,9795.76,7654.09,4,825.98,33.747499999999995,4,196.435,0,1427.47,Paid,41.0,566,High
James Patrick,28,Male,Contract,Environmental health practitioner,7605.36,Diploma,Rent,Single,0,Healthcare,"['Reading', 'Cooking']",7c7104a8-4a76-4bb7-9fa9-4e832458a4b5,2,11849.48,7979.6,15356.3,10569.31,2,716.14,92.25999999999999,4,181.81,0,1214.62,Paid,146.0,541,High
