provider,account_number,monthly_amount,payment_status,user_id,payment_history
Unifi,26214088,240.44,Paid,abacd1bb-982a-48af-8e5b-248048dc3711,"[{""month"": ""2024-11"", ""amount"": 110.09, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 324.58, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 293.86, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 390.66, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 129.43, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 165.01, ""status"": ""Late""}]"
Unifi,79554121,190.61,Paid,abacd1bb-982a-48af-8e5b-248048dc3711,"[{""month"": ""2024-11"", ""amount"": 395.05, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 249.65, ""status"": ""Late""}, {""month"": ""2024-09"", ""amount"": 480.24, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 162.69, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 276.24, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 408.97, ""status"": ""Late""}]"
Maxis,45880382,180.74,Paid,abacd1bb-982a-48af-8e5b-248048dc3711,"[{""month"": ""2024-11"", ""amount"": 467.44, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 223.08, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 430.49, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 54.86, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 175.6, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 372.61, ""status"": ""Paid""}]"
Time Internet,53362709,198.27,Paid,abacd1bb-982a-48af-8e5b-248048dc3711,"[{""month"": ""2024-11"", ""amount"": 288.21, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 230.41, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 479.73, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 95.8, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 495.0, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 194.84, ""status"": ""Paid""}]"
Maxis,36723661,263.03,Overdue,6e59eef3-2f8b-412c-81c6-a7e70b359143,"[{""month"": ""2024-11"", ""amount"": 270.08, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 406.71, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 469.58, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 432.41, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 489.72, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 189.56, ""status"": ""Paid""}]"
Air Selangor,46545850,58.34,Paid,6e59eef3-2f8b-412c-81c6-a7e70b359143,"[{""month"": ""2024-11"", ""amount"": 241.38, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 357.9, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 142.54, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 139.31, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 409.73, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 391.68, ""status"": ""Paid""}]"
Maxis,65432906,116.11,Paid,48a70efb-afc7-4550-a788-ad8aced83874,"[{""month"": ""2024-11"", ""amount"": 154.62, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 246.49, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 282.63, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 253.54, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 210.32, ""status"": ""Pending""}, {""month"": ""2024-07"", ""amount"": 154.05, ""status"": ""Paid""}]"
Tenaga Nasional,53077452,154.55,Paid,48a70efb-afc7-4550-a788-ad8aced83874,"[{""month"": ""2024-11"", ""amount"": 195.0, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 349.15, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 144.65, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 401.89, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 111.67, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 408.65, ""status"": ""Paid""}]"
Air Selangor,34643312,204.24,Paid,48a70efb-afc7-4550-a788-ad8aced83874,"[{""month"": ""2024-11"", ""amount"": 122.23, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 78.46, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 394.27, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 349.52, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 458.12, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 227.53, ""status"": ""Paid""}]"
Maxis,13277076,55.69,Paid,48a70efb-afc7-4550-a788-ad8aced83874,"[{""month"": ""2024-11"", ""amount"": 194.7, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 148.35, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 138.65, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 128.62, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 383.92, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 180.84, ""status"": ""Paid""}]"
Air Selangor,75270588,146.98,Paid,5689cfd3-ec6a-42db-bfab-9ea119d6fab4,"[{""month"": ""2024-11"", ""amount"": 134.8, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 106.67, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 420.99, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 56.58, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 198.51, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 161.45, ""status"": ""Paid""}]"
Tenaga Nasional,75696588,259.73,Pending,5689cfd3-ec6a-42db-bfab-9ea119d6fab4,"[{""month"": ""2024-11"", ""amount"": 462.63, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 445.09, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 300.8, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 388.51, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 98.51, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 361.81, ""status"": ""Paid""}]"
Time Internet,22795742,70.54,Paid,5689cfd3-ec6a-42db-bfab-9ea119d6fab4,"[{""month"": ""2024-11"", ""amount"": 56.67, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 446.14, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 469.65, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 427.47, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 138.04, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 367.71, ""status"": ""Paid""}]"
Air Selangor,58511415,194.3,Paid,4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc,"[{""month"": ""2024-11"", ""amount"": 131.5, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 313.99, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 53.41, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 205.74, ""status"": ""Late""}, {""month"": ""2024-08"", ""amount"": 205.8, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 117.14, ""status"": ""Paid""}]"
Air Selangor,81265505,132.2,Paid,4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc,"[{""month"": ""2024-11"", ""amount"": 448.35, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 290.68, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 198.33, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 72.92, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 117.46, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 169.95, ""status"": ""Paid""}]"
Maxis,9450309,235.01,Paid,4c6657b7-4bd7-4e77-8f50-d6d3a06f29dc,"[{""month"": ""2024-11"", ""amount"": 243.24, ""status"": ""Late""}, {""month"": ""2024-10"", ""amount"": 404.25, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 338.3, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 66.41, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 449.32, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 62.09, ""status"": ""Paid""}]"
Maxis,59468392,227.12,Paid,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161,"[{""month"": ""2024-11"", ""amount"": 159.32, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 407.35, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 107.28, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 68.6, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 367.79, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 254.32, ""status"": ""Paid""}]"
Indah Water,57059514,251.62,Paid,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161,"[{""month"": ""2024-11"", ""amount"": 124.93, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 348.22, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 168.14, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 296.06, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 173.95, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 161.35, ""status"": ""Paid""}]"
Indah Water,29316691,242.49,Paid,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161,"[{""month"": ""2024-11"", ""amount"": 149.37, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 404.02, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 220.27, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 482.18, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 142.58, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 430.31, ""status"": ""Paid""}]"
Unifi,90240416,204.62,Paid,9f07fd49-6c4d-4e9a-bf5e-1e32d7ca4161,"[{""month"": ""2024-11"", ""amount"": 141.32, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 374.79, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 173.34, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 464.4, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 376.95, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 168.22, ""status"": ""Paid""}]"
Tenaga Nasional,14118004,90.8,Paid,cbc5ed05-49b6-494c-b155-a5ad0e373ca4,"[{""month"": ""2024-11"", ""amount"": 77.97, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 58.47, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 240.97, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 230.17, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 440.5, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 75.88, ""status"": ""Paid""}]"
Air Selangor,31449837,74.79,Paid,cbc5ed05-49b6-494c-b155-a5ad0e373ca4,"[{""month"": ""2024-11"", ""amount"": 183.47, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 326.03, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 220.67, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 454.67, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 153.27, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 313.88, ""status"": ""Paid""}]"
Indah Water,37655519,55.49,Paid,cbc5ed05-49b6-494c-b155-a5ad0e373ca4,"[{""month"": ""2024-11"", ""amount"": 493.03, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 379.08, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 498.41, ""status"": ""Late""}, {""month"": ""2024-08"", ""amount"": 69.33, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 313.4, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 373.77, ""status"": ""Paid""}]"
Tenaga Nasional,24606848,201.88,Paid,cbc5ed05-49b6-494c-b155-a5ad0e373ca4,"[{""month"": ""2024-11"", ""amount"": 328.74, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 447.26, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 70.75, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 93.78, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 133.28, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 293.4, ""status"": ""Paid""}]"
Tenaga Nasional,13487806,177.49,Paid,02b5475a-f1c0-4d22-9029-7361e72ff563,"[{""month"": ""2024-11"", ""amount"": 88.46, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 323.07, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 460.72, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 435.86, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 261.2, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 429.99, ""status"": ""Paid""}]"
Air Selangor,88279200,168.21,Paid,02b5475a-f1c0-4d22-9029-7361e72ff563,"[{""month"": ""2024-11"", ""amount"": 135.48, ""status"": ""Paid""}, {""month"": ""2024-10"", ""amount"": 151.68, ""status"": ""Paid""}, {""month"": ""2024-09"", ""amount"": 444.46, ""status"": ""Paid""}, {""month"": ""2024-08"", ""amount"": 204.06, ""status"": ""Pending""}, {""month"": ""2024-08"", ""amount"": 388.63, ""status"": ""Paid""}, {""month"": ""2024-07"", ""amount"": 331.79, ""status"": ""Pending""}]"
