user_id,full_name,age,gender,employment_status,occupation,monthly_income,education_level,residential_status,marital_status,credit_score,risk_category,payment_default_probability,debt_service_ratio,financial_stability_score,creditworthiness_rating,behavioral_score,payment_consistency_score
dc0cc7d5-94d2-44a2-9c86-7d5d110e89c1,Marissa Hickman,27,Male,Self-employed,"Geologist, engineering",7662.74,PhD,Rent,Married,604,Medium,0.49,0.26,92,A,78,38
000c0e9f-7425-4043-a00f-c8ab12f85d23,Shane Rodriguez,21,Male,Employed,"Development worker, community",10159.56,Bachelor,Rent,Married,665,Medium,0.53,0.46,9,A,100,56
43170356-358b-4931-b467-a0f12bb6d159,Dean Smith,29,Female,Self-employed,Quality manager,6882.64,Master,Rent,Single,305,High,0.34,0.09,61,A,40,5
c9764dc0-32b0-4746-8b9f-8356efdf2a80,Daniel Dominguez,25,Female,Employed,"Scientist, forensic",7132.64,PhD,Own,Single,804,Low,0.72,0.02,9,D,70,2
eb2673c1-a480-4289-9d7a-ce545fb02f51,April Gonzales,24,Male,Self-employed,Financial planner,6578.61,Bachelor,Rent,Single,332,High,0.09,0.19,96,A,58,33
323fdcdf-4d28-445a-a38b-f702c9267728,Sabrina Jones,28,Female,Self-employed,"Engineer, control and instrumentation",14131.08,PhD,Own,Married,462,High,0.01,0.05,25,A,55,36
4423b4c2-bfa3-49c7-8b3d-70bee2d93112,Angela Brown,27,Female,Self-employed,Make,9967.82,Bachelor,Own,Single,304,High,0.66,0.01,7,A,41,78
32a194dd-e187-4da6-8e62-d2b3ffd266ba,Kyle Davis,25,Female,Employed,"Librarian, public",3565.11,PhD,Rent,Married,823,Low,0.71,0.32,52,D,41,31
40953b1d-ca99-4188-8c9b-9081d53fb0f7,Christopher Ramirez,27,Female,Self-employed,Occupational hygienist,7460.47,Master,Rent,Married,607,Medium,0.25,0.49,46,B,62,53
64868418-51fb-47fa-84bb-b10af2ce37a4,Jodi Pearson,26,Female,Employed,Communications engineer,14806.16,PhD,Own,Single,460,High,0.81,0.11,36,C,9,12
05151084-b8f4-429a-af07-fe4fb4baafa9,Victor Griffin,26,Male,Self-employed,Physiological scientist,9485.37,Bachelor,Own,Married,647,Medium,0.01,0.18,48,C,90,5
ebc7c0b7-76a4-4674-835d-6b51afe9d285,Annette Sims,21,Female,Employed,Jewellery designer,4124.24,Bachelor,Own,Married,792,Low,0.13,0.04,97,B,38,1
1b04fd56-894f-4c6b-9f34-b883ced29bd4,Ashley Mann,23,Male,Self-employed,Higher education lecturer,3784.19,Master,Own,Married,537,Medium,0.57,0.48,54,D,100,57
33648584-8bc7-4e99-857f-5f513947e169,Kaitlyn Foster,22,Female,Self-employed,Health and safety adviser,7610.08,Bachelor,Own,Single,593,Medium,0.49,0.47,36,D,98,94
39e67d72-c139-4416-868f-b0d3db8bbfd9,Lance Castillo,28,Male,Self-employed,Air broker,8425.14,Master,Own,Married,743,Low,0.8,0.32,28,D,78,18
0273c7cd-5574-450e-a27d-78e450f8ebe4,Joshua Anderson,23,Male,Self-employed,Clinical embryologist,8257.19,Bachelor,Rent,Married,545,Medium,0.47,0.48,68,D,100,30
d49372a9-8681-4e80-9002-01cd6b477498,Maria Garrison,26,Female,Self-employed,"Therapist, nutritional",11857.56,PhD,Rent,Married,464,High,0.93,0.39,43,C,53,63
cba497b2-67db-410a-980a-21709c6380e6,Ronald Adams,29,Male,Employed,Theme park manager,13911.4,Master,Own,Single,493,High,0.5,0.35,17,A,37,69
c769e723-dacc-448b-99bc-91c951b50b73,Seth Collins,30,Female,Employed,"Programme researcher, broadcasting/film/video",7580.13,Master,Own,Single,742,Low,0.25,0.01,76,D,10,65
07b85b7a-574d-4590-8423-00a828329351,Nicole Moore,23,Female,Self-employed,"Civil engineer, contracting",5738.25,Bachelor,Own,Single,442,High,0.89,0.23,35,D,95,4
8bcaa84e-1284-476e-aec3-7c5166b1b41b,Crystal Vazquez,23,Male,Self-employed,Building control surveyor,7951.74,PhD,Rent,Married,837,Low,0.74,0.03,49,B,76,61
52b3c5ab-9594-40cd-b12f-ebea88c4e16f,Christopher Dennis,30,Male,Self-employed,Technical author,12072.11,Master,Own,Single,502,Medium,0.87,0.32,66,B,96,60
b03bf6d7-442b-4854-90f6-84e0e5c97e85,Daniel Black,30,Male,Self-employed,Pathologist,4506.19,PhD,Own,Married,807,Low,0.63,0.32,53,A,51,84
ad0c73a6-636c-42f3-ae81-51afed8adb1e,James Wade,25,Male,Self-employed,Agricultural consultant,10050.6,Bachelor,Rent,Married,812,Low,0.75,0.35,43,D,53,11
c31bbbdc-4be9-4d99-98b1-681e77801e7f,Kathleen Green,26,Female,Employed,"Engineer, land",7112.06,Bachelor,Rent,Single,449,High,0.41,0.17,26,D,97,47
5b84e680-e74f-4ab8-b0e4-ef656cdadfb8,Donna Wilkins,23,Male,Self-employed,"Accountant, chartered management",7129.41,Bachelor,Rent,Single,685,Medium,0.96,0.22,85,C,60,6
f88a9214-9a5d-4eac-b410-8ff3b81d9d77,Lauren Livingston,22,Male,Employed,Industrial buyer,8379.95,PhD,Rent,Married,385,High,0.07,0.43,9,C,51,19
30f149f1-44dd-4e18-aa8b-b0378ccc09ea,John Deleon,22,Female,Employed,Insurance risk surveyor,4584.21,Master,Own,Married,460,High,0.79,0.27,63,A,96,94
38313a2c-7d5f-4f03-a3be-be7789152672,John Carlson,23,Male,Employed,"Scientist, research (physical sciences)",5591.37,Master,Own,Single,715,Low,0.03,0.43,14,C,68,19
73ac5e87-f4be-4c8b-aaa0-a73a96e31cfa,Sarah Guzman,26,Female,Self-employed,Actuary,8592.46,Bachelor,Rent,Married,597,Medium,0.76,0.24,8,C,100,69
5ca5357f-5faa-440e-b3f5-34b1b617e133,Andrew Owens,23,Male,Self-employed,"Social research officer, government",6485.83,Bachelor,Own,Single,787,Low,0.11,0.22,86,A,100,21
70b6b5d7-6e58-47dc-8a13-ea87a77667c8,Diane Hopkins,28,Female,Self-employed,Clinical biochemist,10720.95,PhD,Rent,Married,630,Medium,0.98,0.38,79,C,9,44
